short_id,lon,lat,description
275051,,,Being out doesn't mean anything to me. I wish to see Haifa I wish to see the village my parents had to leave I wish to see my brother who got killed I wish to be free but my freedom is beyond being out it's being Palestinian first and foremost. God have mercy on my brother and my palestinian siblings.
291876,,,stay strong
293147,,,"in solidarity with all my palestinian brothers and sisters, you are all loved. Free Palestine"
306689,,,where i'd hope to go with you someday
316011,,,you made me get attached to you then left
316028,,,made friends like me <3
318325,,,"fell in love with my next door neighbor here, i wish one of us would have had the balls to ask to be actual girlfriends."
323861,,,i met a friend here whose been on estrogen for 5 years. Has been going to the clinic and getting it for birth control for his sister. He’s one of the only medically transitioning ppl (the only that he knows of). He doesn’t identify as trans because he can’t. i love him as my sibling. love from israel free palestine
325744,,,"Palestinian queer & refugee  here , I originally come from this village, Lifta that was ethnically cleansed by zionists in the 1948"
326220,,,"my first time visiting the city my grandparents were expelled from was emotional for me as a queer Palestinian, I couldn't hold my tears. Having to face queer westerns telling me they had fun visiting the city I am from, the city i am supposed to live and grow in, posting pictures on Instagram in a place where my people  were ethnically cleansed from. Even though I hold the Belgium citizenship since I was 23 , I never had the courage to go there because I couldn't accept the fact that people that don't deserve to be there are living in peace , the fact that I can only enter my land using a foreign passport. I am sure one day I will return and will be able to live in Jafa, a place where I feel I belong to. We will return , we shall return"
326615,,,"I’m a queer palestinian. I originally come from here, where Eurovision was held in 2019,  located on top of the remains of of al-Manshiyya, the village my grandparents were ethnically cleansed from. The village was erased from existence during the nakba in 1948"
330765,,,"Our Queer Palestinians voices is higher than the brutality of the occupation and higher than the oppression that our society puts upon us, The voices of freedom will win and Palestine will be free and so we will be.🇵🇸"
333077,,,"My sitti died without ever seeing this city again. In 1948 she was sent into exile from her homeland, from Jaffa ""the bride of the sea"". Before she died, she told me about a woman she once loved here. After the Nakba, she never saw her again. She never even found out if she survived. She told me she still thinks about her. I still mourn the life my grandmother might have been able to live here, in this city, in her homeland. I still mourn the love she shared with this woman, only to be torn apart by 60 years of exile. This land was her birthright. This life was her birthright. They were stolen from her. This place will be liberated. I will return one day to a liberated Palestine. For her."
336293,,,Been kicked out my house lmao
343267,,,"I love them, been together for almost a year now, I am back home for winter break and seeing how different I am from all of my friends, how all of them talk about their boyfriends and I cant share how much I love her hurts, they will judge me so hard, it will get to my parents and my life will be ruined. It sucks to sleep everyday thinking about the day I have to choose my partner over my parents. Its also harder to always have to ask myself if what I am doing is the right thing. The only think im sure of is that our love is so pure and it doesn't happen twice in life. Im just so lost"
343273,,,Free Palestine.
343444,,,احببتك اكثر مما ينبغي
349575,,,Free Palestine❤️
349710,,,"For many years I loved you, you were my first love.. I told you several times that I loved you and I really meant it, you probably took it in the sense of a friends and not as I took it.
I was afraid of losing you so I never said it directly.
That one day on Summer was one of the best days I had,  If I only knew that it'll be our last day, if I only knew what you went through, that you tried to end everything, if I only knew that you'll disappear from my life and will change so much - I would tell you.
You never left my mind, I love you.
I'm glad to know that now you live happy with your family even if it's so far away and even if we don't talk anymore.."
349718,,,FREE PALESTINIAN
350185,,,My first crush
350233,,,"Came out as bi to my parents here. They didn't say it was a phase, for which I am grateful"
350234,,,I am a queer palestinian refugee born in Lebanon. I wish I can go to Palestine
353628,,,"They shot him, my heart burned, everyone consoled me for the loss of a friend, they did not know that I lost myself, that bullet killed both of us, they said that you are a martyr that you are in heaven, I will come to you, my love, wherever you are, heaven, hell, or nothingness .... I will come to you."
353661,,,#freepalestine
354139,,,"I proposed to my husband on the beach in Tel Aviv, as the sun set, surrounded by strangers who applauded us. We kissed and knew then that our future was together."
358208,,,"Came out to my best friend here after school, and I'm so happy that she was the first person I told.
Although, I still dont have a girlfriend yet, but now I do know I have a friend for life <3"
358609,,,Am I alone?
358667,,,had my first gay kiss here in her car
358669,,,First time sleeping with a women
358683,,,"I love you, dump this boyfriend and kiss me already"
368301,,,I wish I had the courage to do something about it. To make the move. I know you expect me to. And I will. Hopefully soon before you move on…..
368620,,,I finally accepted myself here.
376668,,,"I can't believe we kissed here. everybody was looking but it didn't matter, we were in love."
383868,,,"You asked me if i liked girls (so casual) while we waited for our friends to arrive at the bar, in a time where i wasn't out to almost no one. 
Was one of my favorite moments with you, so easy and calm.
Love you forever girl."
383984,,,"We had our first date here. I'm the happiest I've ever been, I love you so much ❤️ One day I'll be able to marry you here."
387310,,,Daily reminder that cashews come froma fruit
388333,,,Reminder that israel is a settler colonial state that is built on the ethnic cleansing of the Palestinians. There are over 7 million stateless Palestinian refugees that are scattered around the world and can’t return to their original cities.  Stop the on going nakba. Right of the return NOW.
388451,,,"When I came out as a lesbian and posted it on Twitter, I had some homophobic arab men tag the IDF on my account and say I deserved to be bombed by them. Having grown up in London , I’ve also been told by some queer people that Palestinians deserve to be bombed because they are less accepting than Israelis on the lgbt people. Decided to pin this here because it’s the place I’m supposed to be in, not in a refugee camp."
388469,,,FREE PALESTINE
391094,,,"Being the first person to come out openly as trans/gay in my religious moshav, quite scary. 
You are all loved and valid."
393306,,,"We were drunk in the room alone and i asked him to kiss me, it was his first time making out with a guy, and i don’t think it meant a lot to him. We don’t talk anymore, we’re both busy with our own lives and we’re just heading towards different paths, i guess we just grew apart, i just hope he knows how much it meant to me."
393693,,,I love you but I’d rather have you as a friend than not at all
394029,,,"Had my first time with a man here, I also had my first time with a woman here"
394033,,,First time I had sex
394732,,,"I confess my love to one of my best friends, she loved me too, that I for letting me feel like I’m belong dizengoff 🏳️‍🌈💜"
395102,,,"Today all of my clasmates yelld at me wile i defended gay rights, after this i left the class and startd crying.
They dont know im a lesbian."
395153,,,"Here was our first date, we sat talked about our childhood , queer culture , food and bagpipes"
395406,,,I don’t know how to feel as a Lgbt palestinian when the biggest pride event took place on the ruins of my village
395928,,,I hate this fucking unfair life because if my rights aren’t debatable as a Palestinian in the Arab world it’s debatable as a queer and if my rights aren’t debatable as a queer in the west it’s debatable as a Palestinian.
397410,,,sitting in an arabic literature class while my homophobic professor is hating on old homoerotic arabic poetry
397856,,,A place were I kissed my first crash. Being gay in Gaza is hard but somehow it was fun. I made out with a lot of boys in my neighborhood. I thought everyone is gay to some level.
397971,,,Played with his hair
398027,,,"How lucky are the people who see the person we want to see , I miss you... like alot."
398241,,,"Queer people should never allow themselves to be co-opted into supporting settler colonialism, ethnic cleansing and apartheid for the sake of a pride parade and few gay clubs. From the river to the sea Palestine will be free."
398568,,,"First time visiting Israel/Palestine, I dated an ex airforce officer after we matched  on tinder. He was trying to impress me by telling me he targeted a residential building in Gaza. I'll never forget this date, it changed my whole perspective about the conflict"
401148,,,"My girlfriend's house, for a year her parents thought I was just a good friend and at first my parents didn't want her to stay with us. We have been together since we were 17, we are now 21. We went through hard times and joys together but I don't know what I would do without her, there is no person more fun to hug than her. Today both families know. be strong. It gets better."
401169,,,"I’m here. I’m queer, im a religious person, you are not alone. Stay strong, it’s get better, love youuuuu"
